,m2,m4,m6,m8,m10,m12,m14,m16,m18,m20,m22,m24,m26,m28,m30,m32,m34,m36,m38,m40,m42,m44,m46,m48,m50,m52,m54,m56,m58,m60,m62,m64,m66,m68,m70,m72,m74,m76,m78,m80,m82,m84,m86,m88,m90,m92,m94,m96,m98,m100,m102,m104,m106,m108,m110,m112,m114,m116,m118,m120,m122,m124,m126,m128,m130,m132,m134,m136,m138,m140,m142,m144,m146,m148,m150,m152,m154,m156,m158,m160,m162,m164,m166,m168,m170,m172,m174,m176,m178,m180,m182,m184,m186,m188,m190,m192,m194,m196,m198,m200
m1,0.4426358,0.4040198,0.5791682,0.3033785,0.5121055,0.2011189,0.5271079,0.5772887,0.4586288,0.2425657,0.506168,0.3956004,0.5970361,0.6468998,0.3806281,0.6458194,0.6787441,0.6450004,0.2613323,0.5378543,0.3563284,0.3211532,0.3444223,0.3670885,0.6860893,0.5552727,0.2416107,0.1128005,0.6023991,0.4093245,0.5588913,0.1897818,0.1781692,0.5047219,0.4083975,0.5553075,0.3583773,0.3291197,0.3079772,0.563486,0.600618,0.524774,0.4218327,0.3138283,,0.2744506,0.6027503,0.6373341,0.4690673,0.3919999,0.1693132,0.4892503,0.7996774,0.1146013,0.6913822,0.5271327,0.190173,0.8045349,0.3900647,0.1448758,0.351029,0.3831347,0.2832722,0.1422043,,0.3192343,,0.2098535,,0.4088341,,0.4388455,0.344553,0.4432736,0.716616,0.4855565,0.498873,0.522317,0.329004,0.1949501,0.5918194,0.5464257,0.2633489,0.3703235,0.3816115,0.3131269,0.2281955,0.6515695,0.3781628,0.4942299,0.3279651,0.4352055,0.2896921,0.3831613,0.5015546,,0.5615681,0.2800017,0.4498007,0.1873336
m10,0.5415037,0.369146,0.5050333,0.4321483,,0.4774633,0.4856677,0.4814641,0.5364742,0.3641722,0.5870969,0.4446187,0.523396,0.5256804,0.548454,0.4761298,0.4991602,0.4738259,0.2789901,0.5818327,0.5037797,0.5610254,0.488944,0.5288577,0.4792374,0.5530363,0.4689517,0.2889586,0.4417881,0.4568061,0.5240188,0.5152827,0.408085,0.4425443,0.5588214,0.4533011,0.4612837,0.444561,0.4692764,0.5965069,0.2115955,0.0675408,0.5159905,0.5773929,,0.5170494,0.5113027,0.5740115,0.7204854,0.5474583,0.5115817,0.5414003,,0.0096307,0.5511889,0.5143415,0.3432871,0.2342776,0.5010638,,0.5191201,0.7210359,0.3476551,,,0.4415532,,,,0.531641,,0.4894425,0.4411788,0.2061658,0.506782,0.3347032,0.4071734,0.6422697,0.5304457,0.4601707,0.3630382,0.5245274,0.4924309,0.5353239,0.4675392,0.4766825,0.3774461,0.3966577,0.2543988,0.5736347,0.5707443,0.5655013,0.5175617,0.4633598,0.3662847,,0.3794677,0.4996222,0.5236116,0.3091347
m100,0.6568212,0.4538668,0.4391376,0.5111008,0.5474583,0.3757775,0.4109187,0.4720277,0.5326017,0.6897248,0.6542645,0.6559608,0.5682362,0.1289314,0.697802,0.4073707,0.3541133,0.3550295,0.9037227,0.2224394,0.7299133,0.6719682,0.6287314,0.6077064,0.3183471,0.4483558,,,0.4395514,0.5722336,0.5956454,0.829657,0.3260297,0.6226933,0.650218,0.4262067,0.4787762,0.696972,0.6460682,0.6942945,0.4046982,0.213913,0.694146,0.8368689,,0.4002192,0.515967,,,,0.6297474,0.6496722,,,0.3745198,0.5119154,,,0.6271858,,0.5394904,,0.2998266,0.5623169,,0.6396921,,,,0.6733512,,0.5145339,,0.4940275,0.3817173,0.5502892,0.2924501,0.9008541,0.6073322,0.7070857,0.2973673,0.5031211,0.6174061,0.6386294,0.492964,0.5935653,0.6707387,0.2610731,0.705546,0.5129834,0.5039686,0.7862844,0.859439,0.5319228,0.4805223,,0.5157639,0.5875036,0.6369565,0.6367874
m1000,0.7829194,0.2243257,0.2253313,,0.4904717,0.7088092,,0.5028423,0.5941814,0.29006,0.3771922,0.3014559,0.8636578,0.5798532,,0.3918034,0.543337,0.2347084,,,0.5658163,0.7545657,,0.6987385,0.3601322,0.7955218,,,0.3276917,0.5157757,0.4738041,,,,0.6812799,,,0.7567393,,,,,0.0373102,0.5095131,,0.6150196,0.4903495,,,0.482965,0.2894948,0.3465599,,,0.3495875,0.3785624,,,0.4229986,,0.6600817,,,,,0.4892245,,,,0.4900158,,0.5604045,,,0.3482501,0.62382,0.01928,0.7382343,1.0,0.8281178,0.3318643,0.4517215,0.6178069,0.6558844,0.306065,0.6162344,,0.3774096,,0.3721914,,,,0.6354773,0.4271753,,0.6111156,0.8721839,0.5793342,
m1002,,,,,,,,0.4623,,,,,,0.1597378,,0.4121772,0.7028785,0.2096445,,,,,,,0.7361145,0.2800634,,,0.6151734,,,,,,,0.7396673,,,,,,,,,,,0.2987189,,,,,,0.9370168,,0.4719388,0.9162581,,,,,,,,,,,,,,,,0.6395931,,,,,0.8026657,,,,,0.3122434,,,,,,0.869332,,0.741444,,0.338967,,,,,0.7079577,,,
m1003,0.6621263,0.5017265,0.4667234,0.8810884,0.610983,0.644459,0.3503625,0.3609074,0.5294561,0.7079269,0.6176804,0.5538833,0.4894467,0.1455911,0.7892123,0.2400567,0.3430282,0.3562013,0.8066117,,0.5448156,0.5929058,0.568986,0.6662171,0.2565932,0.3906784,0.6333094,,0.1506279,0.270146,0.5327559,0.7157075,0.5696274,0.8313663,0.5442381,0.1950106,0.4658265,0.6159574,0.66597,0.781465,0.1556332,,0.5784548,0.7265676,,0.7518781,0.4743346,,,0.8365839,0.7383363,0.5071531,,,0.2844917,0.6536935,,0.6620426,0.4436688,,0.6230919,0.2020289,0.1868514,,,0.7513889,,,,0.5671725,,0.2604453,,0.4374874,0.3400886,0.696827,0.3828708,0.7857905,0.7411803,0.7125189,0.349644,0.5121916,0.8812418,0.6827871,0.6651359,0.6879645,0.6384487,0.3944599,0.6409976,0.4874782,0.4713339,0.7211706,0.6138429,0.5831657,0.1723519,,0.3069809,0.658608,0.5488766,0.7829297
m1004,0.5419699,0.7411575,0.443056,0.8863569,0.4237425,0.8131334,0.3197793,0.3179789,0.5346591,0.8222861,0.4853893,0.6859845,0.5559649,0.8209712,,0.233753,0.3585201,0.0940964,,,0.7084523,0.6916003,0.2753821,0.7373046,0.2280221,0.2504741,,,0.2641433,0.6628507,0.5010497,0.9263198,0.827066,0.5515791,0.4546233,0.4239893,0.8323975,0.4824016,0.2108507,,0.8817517,,0.5646547,0.8218976,,0.6257673,0.2020232,,,0.6295382,0.4890389,0.5196367,,,0.1842193,0.5608924,,0.0606742,0.5453564,,0.7604743,,0.8528172,,,0.7275916,,,,0.8740584,,0.6972461,0.8803068,1.0,0.3157781,0.3265794,0.6185507,0.2422015,0.8491795,0.8354779,0.1325256,0.3771911,0.9167065,0.6929627,0.7354001,0.7705027,0.7305516,0.2306907,,0.416136,,0.4827787,0.7235132,0.3097314,0.6038492,,0.354408,0.6120772,0.4690622,
m1005,0.6596961,0.7071906,0.3997789,0.8116628,0.4606591,0.7480728,0.4068107,0.3213455,0.4493789,0.784011,0.3474751,0.6323319,0.4616253,0.0876575,,0.2715442,0.4387895,0.1684616,0.9405163,,0.6180847,0.647053,0.4158881,0.6968539,0.1351055,0.322411,0.8801786,1.0,0.1738503,0.7737218,0.3961531,0.8092343,0.8401008,0.101837,0.5840428,0.1160236,0.6695954,0.5092318,0.6519507,,0.1188537,,0.3585584,0.6270608,,0.6225699,0.3023205,,,0.5682818,0.8188752,0.411368,,,0.222066,0.4895049,,0.4703829,0.2821368,,0.801838,,0.8297697,,,0.6991031,,,,0.5379186,,0.6711307,0.8608098,0.9076722,0.3078464,,0.6028668,0.2240955,0.7397653,0.9124008,0.1906564,0.2934911,0.5541186,0.7680315,0.535879,0.8533827,0.7377007,0.1376837,,0.2675242,0.704525,,0.6613949,0.4814015,,,0.3927801,0.72791,0.6633427,
m1006,0.7330516,0.4724157,0.4046718,,0.6576989,0.6932148,0.5022438,0.3334545,0.4795723,0.8560883,0.5484236,0.6100806,0.6418638,0.3875838,0.6189276,0.2577959,0.3735014,0.2849263,0.898443,0.5401191,0.7501044,0.5510403,0.4802833,0.5372377,0.2632048,0.3394259,0.966588,,0.2719696,0.6541419,0.3941869,0.6561169,,,0.4928475,0.202543,0.8329771,0.693697,0.2926821,,0.2509508,,0.6177309,0.7837884,,0.7568453,0.1994209,,,0.811807,0.8747095,0.5635166,,,0.2813641,0.3707071,,,0.2296482,,0.552677,,0.7360938,,,0.6566574,,,,0.6091228,,0.2542789,,0.5368753,0.3333596,0.5278992,0.612663,0.1264388,0.8053695,0.7581363,0.3312048,0.4457919,0.7720798,0.6713419,0.5336779,0.5865741,0.7609156,0.1060353,,0.3661395,0.5085061,0.4084833,0.6606334,0.5629571,0.3853307,,0.2798818,0.8211642,0.6073724,
m1007,0.614141,0.6477267,0.539707,0.6135588,0.5495395,0.5796307,0.4601587,0.4191781,0.4526254,0.552844,0.5192966,0.5846146,0.7244048,0.4909908,0.5225849,0.4126954,0.357589,0.3973769,0.7028726,0.3252865,0.6163786,0.6333757,0.6913176,0.5709738,0.2809742,0.3852742,0.6571607,,0.4228895,0.5093983,0.4150787,0.6452546,0.5943529,0.6229095,0.536192,0.3093247,0.7649841,0.5762948,0.4438677,,0.2058152,,0.4772707,0.4984558,,0.6229812,0.2327163,,,0.4885245,0.7009992,0.4917823,,0.0888301,0.3906691,0.5947505,,0.4348324,0.8320794,,0.721483,0.9239139,0.6159537,,,0.6082716,,,,0.7377144,,0.5968823,0.5831603,0.791854,0.2813161,0.4120415,0.5786041,0.6024356,0.6887373,0.6816942,0.2883106,0.5566922,0.7413868,0.6751345,0.6060948,0.5934423,0.6003773,0.5010455,0.7317647,0.4144148,0.5371477,0.4065364,0.5978171,0.5004842,0.318492,,0.3571911,0.6781356,0.5502444,0.7551321
